epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,3850.46,1.05294,0.80942,1.0806,0.70565,0.61054,0.66053,0.41872,0.96006,1.08413,0.93499,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3894.4,1.0438,0.79285,1.07276,0.74804,0.57298,0.65781,0.41837,0.95477,1.01608,0.93742,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3938.95,1.04427,0.79801,1.07257,0.74698,0.58172,0.65712,0.41903,0.96281,1.02302,0.94437,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3983.8,1.04146,0.80111,1.07241,0.74992,0.57604,0.65685,0.41971,0.95719,1.071,0.94536,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,4028.95,1.02995,0.79525,1.07295,0.7534,0.57276,0.65756,0.42239,0.95391,1.1128,0.9395,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4075.24,1.0294,0.78398,1.06676,0.76915,0.5759,0.65272,0.41959,0.95714,1.14939,0.93772,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4120.23,1.03786,0.78839,1.06767,0.76647,0.55314,0.64954,0.41982,0.9537,1.17524,0.93562,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4266.71,1.00398,0.74963,1.05126,0.73915,0.58654,0.66358,0.42351,0.95585,1.16765,0.93878,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4309.77,0.97697,0.71598,1.03642,0.74352,0.59902,0.66798,0.42212,0.95454,1.19279,0.9389,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4353.72,0.96843,0.71749,1.03655,0.7206,0.61279,0.67105,0.42458,0.9517,1.21972,0.93704,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4397.24,0.95017,0.68691,1.0245,0.72055,0.60701,0.67259,0.42714,0.95589,1.2188,0.94074,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4441.96,0.9446,0.6827,1.02435,0.72252,0.60444,0.67292,0.42837,0.95194,1.22567,0.93993,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4486.89,0.93748,0.68435,1.0218,0.76472,0.5851,0.67158,0.42796,0.94896,1.22472,0.93798,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4534.41,0.91818,0.67206,1.0164,0.7613,0.59844,0.6687,0.4274,0.94761,1.13941,0.93758,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4579.99,0.92847,0.67566,1.01645,0.75032,0.59469,0.66751,0.42801,0.94557,1.12148,0.93755,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4626.23,0.91741,0.66197,1.01149,0.75338,0.58762,0.66715,0.4286,0.94286,1.10509,0.93698,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4671.61,0.91336,0.65772,1.01148,0.7522,0.58538,0.66594,0.42761,0.94277,1.09747,0.93687,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
